"","file_type","ie_number...2","rep_number","file_name","duration","sample_rate","num_channels","amplitude","xml_title","xml_creators","xml_type","xml_publisher","xml_date","xml_language","xml_identifier","xml_bibliographicCitation","mms","ie_number...18","label_code","label1","label2","label3","label4","label5"
"1","mp3","IE1005520","REP74107552","FL74107553_1294987_PM_S_2.mp3",1017.624,48000,48845952,29338,"Māoritanga /               by the Maniapoto Voices.","Maniapoto Voices.||Deller, Hinerangi.||Bradfield, Johnny.||Morgan, Chuck,
    1952-2018.||Penney, Bert.||Herewini, William.","Sound Recordings","Auckland, N.Z. :               Zodiac,","[1966?]","mao","IE1005520","Māoritanga",9912949873502836,"IE1005520","sg","Māori (New Zealand people)","Songs, Māori.","Waiata.","",""
"2","mp3","IE1005520","REP74107552","FL74107554_1294987_PM_S_1.mp3",916.296,48000,43982208,24800,"Māoritanga /               by the Maniapoto Voices.","Maniapoto Voices.||Deller, Hinerangi.||Bradfield, Johnny.||Morgan, Chuck,
    1952-2018.||Penney, Bert.||Herewini, William.","Sound Recordings","Auckland, N.Z. :               Zodiac,","[1966?]","mao","IE1005520","Māoritanga",9912949873502836,"IE1005520","sg","Māori (New Zealand people)","Songs, Māori.","Waiata.","",""
"3","mp3","IE1005765","REP74077251","FL74077252_618509_PM_S_1.mp3",984.984,48000,47279232,18208,"The Ohinemutu Māori Cultural Group /               [music] arranged or composed by Hamuera Mitchell.","Mitchell, Hamuera.||Ohinemutu Cultural Group.","Sound Recordings","[Wellington, N.Z.] :               Viking,","[1964]","mao","IE1005765","The Ohinemutu Māori Cultural Group",996185093502836,"IE1005765","sg","Songs, Māori.","Māori (New Zealand people)","","",""
"4","mp3","IE1005765","REP74077251","FL74077254_618509_PM_S_2.mp3",1106.904,48000,53131392,26010,"The Ohinemutu Māori Cultural Group /               [music] arranged or composed by Hamuera Mitchell.","Mitchell, Hamuera.||Ohinemutu Cultural Group.","Sound Recordings","[Wellington, N.Z.] :               Viking,","[1964]","mao","IE1005765","The Ohinemutu Māori Cultural Group",996185093502836,"IE1005765","sg","Songs, Māori.","Māori (New Zealand people)","","",""
"5","mp3","IE1006254","REP74077344","FL74077345_1276331_PM_S_1.mp3",825.528,48000,39625344,19312,"Sing along in Māori /               The Mauriora Entertainers.","Mauriora Entertainers.","Sound Recordings","[New Zealand] :               Viking,","[1962?]","mao","IE1006254","Sing along in Maori",9912763313502836,"IE1006254","fm","Māori (New Zealand people)","Folk songs, Māori","Songs, Māori.","",""
"6","mp3","IE1006254","REP74077344","FL74077346_1276331_PM_S_2.mp3",1002.168,48000,48104064,14003,"Sing along in Māori /               The Mauriora Entertainers.","Mauriora Entertainers.","Sound Recordings","[New Zealand] :               Viking,","[1962?]","mao","IE1006254","Sing along in Maori",9912763313502836,"IE1006254","fm","Māori (New Zealand people)","Folk songs, Māori","Songs, Māori.","",""
"7","mp3","IE1010462","REP74078013","FL74078014_1322711_PM_S_2.mp3",392.664,48000,18847872,8455,"Come, hear our songs /               Turakina Maori Girls' College Concert party.","Turakina Maori Girls' College.
    Concert Party.||Harrison, Sonia.||Vercoe, Louise.","Sound Recordings","[Wellington, N.Z.] :               Kiwi,","[1967]","mao","IE1010462","Come, hear our songs",9913227113502836,"IE1010462","sg","Songs, Māori.","Waiata.","Māori (New Zealand people)","",""
"8","mp3","IE1010462","REP74078013","FL74078017_1322711_PM_S_1.mp3",350.976,48000,16846848,8475,"Come, hear our songs /               Turakina Maori Girls' College Concert party.","Turakina Maori Girls' College.
    Concert Party.||Harrison, Sonia.||Vercoe, Louise.","Sound Recordings","[Wellington, N.Z.] :               Kiwi,","[1967]","mao","IE1010462","Come, hear our songs",9913227113502836,"IE1010462","sg","Songs, Māori.","Waiata.","Māori (New Zealand people)","",""
"9","mp3","IE1010492","REP74078042","FL74078043_467600_PM_S_1.mp3",290.808,48000,13958784,16347,"Maori melodies on guitar /               Peter Posa.","Posa, Peter.","Sound Recordings","N.Z. :               Viking,","[1965]","zxx","IE1010492","Maori melodies on guitar",994676003502836,"IE1010492","pp","Popular instrumental music","Māori (New Zealand people)","","",""
"10","mp3","IE1010492","REP74078042","FL74078046_467600_PM_S_2.mp3",315.552,48000,15146496,17644,"Maori melodies on guitar /               Peter Posa.","Posa, Peter.","Sound Recordings","N.Z. :               Viking,","[1965]","zxx","IE1010492","Maori melodies on guitar",994676003502836,"IE1010492","pp","Popular instrumental music","Māori (New Zealand people)","","",""
"11","mp3","IE1013111","REP74107662","FL74107663_611691_PM_S_1.mp3",933.912,48000,44827776,16865,"Country tracks :               Hits from ""Studio One"" /               [performed by] Toni Williams.","Williams, Toni
    (Antoni)","Sound Recordings","Auckland, N.Z. :               Zodiac,","[1969]","eng","IE1013111","Country tracks",996116913502836,"IE1013111","cy","Country music","Popular music","","",""
